date;Haute-Vienne;La Réunion;All overseas French departments;Île-de-France;Centre-Val de Loire;Bourgogne-Franche-Comté;Normandie;Hauts-de-France;Grand Est;Pays de la Loire;Bretagne;Nouvelle-Aquitaine;Occitanie;Auvergne-Rhône-Alpes
2018-01-31;313;661;1455;11457;1875;1946;2387;4062;4073;2441;2201;4430;4927;6410
2018-02-28;318;659;1450;11441;1840;1924;2389;4068;4023;2453;2190;4425;4941;6301
2018-03-31;302;664;1482;11386;1828;1921;2381;4049;3946;2360;2141;4350;4803;6222
2018-04-30;310;657;1501;11500;1828;1936;2398;4083;3895;2350;2172;4357;4795;6218
2018-05-31;311;662;1493;11521;1800;1932;2390;4040;3854;2313;2124;4305;4726;6145
2018-06-30;316;666;1494;11595;1788;1925;2338;4079;3896;2342;2120;4372;4691;6151
2018-07-31;321;676;1517;11723;1799;1938;2344;4108;3962;2307;2126;4372;4720;6178
2018-08-31;321;1021;1848;11736;1807;1945;2355;4089;3915;2309;2125;4392;4684;6145
2018-09-30;322;1036;1883;11704;1803;1935;2381;4178;3992;2301;2148;4406;4745;6117
2018-10-31;315;1132;1965;11876;1856;1950;2399;4208;4016;2369;2141;4454;4717;6195
2018-11-30;302;1151;1968;11936;1867;1908;2412;4212;4110;2360;2123;4460;4667;6185
2018-12-31;317;1166;1947;12014;1863;1931;2361;4248;4100;2384;2074;4530;4695;6169
2019-01-31;321;1204;1993;12095;1895;1943;2366;4310;4165;2391;2122;4560;4746;6154
2019-02-28;304;1206;1984;12106;1931;1930;2375;4244;4242;2368;2101;4579;4725;6134
2019-03-31;317;1281;2003;11974;1912;1940;2345;4224;4253;2385;2111;4600;4702;6096
2019-04-30;314;1328;2034;12153;1902;1962;2318;4197;4260;2380;2069;4555;4744;6114
2019-05-31;326;1306;2001;12112;1869;1977;2298;4163;4211;2386;2109;4571;4680;6098
2019-06-30;331;1295;1998;11991;1847;1937;2317;4126;4193;2329;2088;4563;4624;6009
2019-07-31;327;1297;1980;11856;1847;1916;2290;4097;4175;2338;2112;4583;4658;6072
2019-08-31;327;944;1607;11800;1847;1916;2240;4122;4178;2321;2085;4522;4636;6020
2019-09-30;321;940;1579;11766;1829;1932;2239;4050;4093;2319;2025;4505;4552;6037
2019-10-31;308;839;1485;11639;1772;1949;2188;4022;4009;2249;2009;4421;4541;5984
2019-11-30;310;847;1497;11499;1764;1950;2154;3922;3948;2220;2033;4378;4528;5983
2019-12-31;296;811;1460;11371;1760;1941;2188;3914;3919;2209;2029;4352;4456;5968
2020-01-31;301;765;1365;11252;1689;1939;2139;3794;3736;2162;1935;4216;4297;5867
2020-02-29;308;737;1323;11180;1671;1951;2076;3771;3604;2113;1963;4087;4156;5794
2020-03-31;296;638;1236;10775;1602;1874;1993;3661;3404;2008;1868;3931;4014;5554
2020-04-30;279;549;1111;9982;1499;1766;1862;3418;3176;1872;1796;3734;3750;5168
2020-05-31;256;524;1053;9297;1439;1661;1750;3226;2986;1761;1676;3539;3599;4862
2020-06-30;242;510;1039;8928;1417;1645;1716;3156;2888;1682;1605;3393;3503;4700
2020-07-31;231;521;1048;8746;1340;1570;1651;3022;2757;1598;1553;3228;3305;4441
2020-08-31;231;497;1033;8600;1316;1544;1621;2972;2726;1603;1535;3182;3271;4395
2020-09-30;219;481;1023;8356;1223;1452;1577;2824;2607;1506;1483;3035;3140;4155
2020-10-31;211;467;979;7937;1133;1328;1506;2694;2462;1410;1422;2868;2924;3886
2020-11-30;201;415;900;7635;1077;1282;1421;2593;2329;1348;1299;2769;2763;3616
