"","Region","week","PosCasesPerWeek","diedthisweek","recoveredthisweek","CumulatedCases"
"1","Auvergne-Rhône-Alpes",2020-03-01,131,0,6,131
"2","Auvergne-Rhône-Alpes",2020-03-08,347,12,2,478
"3","Auvergne-Rhône-Alpes",2020-03-15,1318,45,184,1796
"4","Auvergne-Rhône-Alpes",2020-03-22,1850,139,517,3646
"5","Auvergne-Rhône-Alpes",2020-03-29,1640,282,985,5286
"6","Auvergne-Rhône-Alpes",2020-04-05,1834,277,1163,7120
"7","Auvergne-Rhône-Alpes",2020-04-12,1530,237,940,8650
"8","Auvergne-Rhône-Alpes",2020-04-19,1278,220,846,9928
"9","Auvergne-Rhône-Alpes",2020-04-26,727,143,511,10655
"10","Auvergne-Rhône-Alpes",2020-05-03,719,118,544,11374
"11","Auvergne-Rhône-Alpes",2020-05-10,913,89,537,12287
"12","Auvergne-Rhône-Alpes",2020-05-17,768,61,363,13055
"13","Auvergne-Rhône-Alpes",2020-05-24,717,47,408,13772
"14","Auvergne-Rhône-Alpes",2020-05-31,480,26,274,14252
"15","Auvergne-Rhône-Alpes",2020-06-07,408,22,183,14660
"16","Auvergne-Rhône-Alpes",2020-06-14,354,5,132,15014
"17","Auvergne-Rhône-Alpes",2020-06-21,284,6,54,15298
"18","Auvergne-Rhône-Alpes",2020-06-28,323,11,101,15621
"19","Auvergne-Rhône-Alpes",2020-07-05,354,7,62,15975
"20","Auvergne-Rhône-Alpes",2020-07-12,347,2,47,16322
"21","Auvergne-Rhône-Alpes",2020-07-19,662,8,101,16984
"22","Auvergne-Rhône-Alpes",2020-07-26,810,3,89,17794
"23","Auvergne-Rhône-Alpes",2020-08-02,889,1,79,18683
"24","Auvergne-Rhône-Alpes",2020-08-09,1341,7,71,20024
"25","Auvergne-Rhône-Alpes",2020-08-16,2729,4,73,22753
"26","Auvergne-Rhône-Alpes",2020-08-23,3987,6,75,26740
"27","Auvergne-Rhône-Alpes",2020-08-30,5873,5,127,32613
"28","Auvergne-Rhône-Alpes",2020-09-06,7897,20,172,40510
"29","Auvergne-Rhône-Alpes",2020-09-13,9438,33,265,49948
"30","Auvergne-Rhône-Alpes",2020-09-20,10246,54,361,60194
"31","Auvergne-Rhône-Alpes",2020-09-27,11825,58,444,72019
"32","Auvergne-Rhône-Alpes",2020-10-04,20502,71,412,92521
"33","Auvergne-Rhône-Alpes",2020-10-11,34259,114,502,126780
"34","Auvergne-Rhône-Alpes",2020-10-18,58420,202,906,185200
