"","Date","NumberOfBusinessClosings","NumberofCompanyBirths","Bundesland"
"1",2019-01-01,"9362",8573,"Baden-Württemberg"
"2",2019-02-01,"7847",6551,"Baden-Württemberg"
"3",2019-03-01,"7679",6155,"Baden-Württemberg"
"4",2019-04-01,"6976",5732,"Baden-Württemberg"
"5",2019-05-01,"7056",5458,"Baden-Württemberg"
"6",2019-06-01,"6012",4898,"Baden-Württemberg"
"7",2019-07-01,"6837",5972,"Baden-Württemberg"
"8",2019-08-01,"6964",5573,"Baden-Württemberg"
"9",2019-09-01,"7075",6116,"Baden-Württemberg"
"10",2019-10-01,"7759",6431,"Baden-Württemberg"
"11",2019-11-01,"6639",6344,"Baden-Württemberg"
"12",2019-12-01,"6579",8439,"Baden-Württemberg"
"13",2019-01-01,"12160",11364,"Bayern"
"14",2019-02-01,"10542",8750,"Bayern"
"15",2019-03-01,"10267",8066,"Bayern"
"16",2019-04-01,"9581",7542,"Bayern"
"17",2019-05-01,"9792",7881,"Bayern"
"18",2019-06-01,"7757",6261,"Bayern"
"19",2019-07-01,"10006",8721,"Bayern"
"20",2019-08-01,"8921",7188,"Bayern"
"21",2019-09-01,"9355",7824,"Bayern"
"22",2019-10-01,"9602",8421,"Bayern"
"23",2019-11-01,"7739",7318,"Bayern"
"24",2019-12-01,"7884",10997,"Bayern"
"25",2019-01-01,"4445",4050,"Berlin"
"26",2019-02-01,"3629",3159,"Berlin"
"27",2019-03-01,"3612",3012,"Berlin"
"28",2019-04-01,"3386",2705,"Berlin"
"29",2019-05-01,"3364",2753,"Berlin"
"30",2019-06-01,"3212",2624,"Berlin"
"31",2019-07-01,"3696",2949,"Berlin"
"32",2019-08-01,"3479",2877,"Berlin"
"33",2019-09-01,"3863",3041,"Berlin"
"34",2019-10-01,"3275",2611,"Berlin"
"35",2019-11-01,"2996",2400,"Berlin"
"36",2019-12-01,"2799",3532,"Berlin"
"37",2019-01-01,"1859",1925,"Brandenburg"
"38",2019-02-01,"1575",1501,"Brandenburg"
"39",2019-03-01,"1568",1408,"Brandenburg"
"40",2019-04-01,"1549",1348,"Brandenburg"
"41",2019-05-01,"1403",1172,"Brandenburg"
"42",2019-06-01,"1310",1142,"Brandenburg"
"43",2019-07-01,"1391",1383,"Brandenburg"
"44",2019-08-01,"1394",1179,"Brandenburg"
"45",2019-09-01,"1397",1338,"Brandenburg"
"46",2019-10-01,"1223",1140,"Brandenburg"
"47",2019-11-01,"1431",1477,"Brandenburg"
"48",2019-12-01,"1346",1866,"Brandenburg"
"49",2019-01-01,"367",285,"Bremen"
"50",2019-02-01,"606",458,"Bremen"
"51",2019-03-01,"479",466,"Bremen"
"52",2019-04-01,"507",408,"Bremen"
"53",2019-05-01,"531",369,"Bremen"
"54",2019-06-01,"437",327,"Bremen"
"55",2019-07-01,"467",369,"Bremen"
"56",2019-08-01,"425",318,"Bremen"
"57",2019-09-01,"421",380,"Bremen"
"58",2019-10-01,"407",322,"Bremen"
"59",2019-11-01,"684",603,"Bremen"
"60",2019-12-01,"409",381,"Bremen"
"61",2019-01-01,"1958",1665,"Hamburg"
"62",2019-02-01,"1724",1244,"Hamburg"
"63",2019-03-01,"1775",1260,"Hamburg"
"64",2019-04-01,"1760",1259,"Hamburg"
"65",2019-05-01,"1702",1168,"Hamburg"
"66",2019-06-01,"1605",1182,"Hamburg"
"67",2019-07-01,"1718",1520,"Hamburg"
"68",2019-08-01,"1753",1445,"Hamburg"
"69",2019-09-01,"1779",1422,"Hamburg"
"70",2019-10-01,"1624",1242,"Hamburg"
"71",2019-11-01,"1634",1448,"Hamburg"
"72",2019-12-01,"1422",1586,"Hamburg"
"73",2019-01-01,"6469",6742,"Hessen"
"74",2019-02-01,"5344",4921,"Hessen"
"75",2019-03-01,"5374",5056,"Hessen"
"76",2019-04-01,"4952",4629,"Hessen"
"77",2019-05-01,"4879",4197,"Hessen"
"78",2019-06-01,"4206",3684,"Hessen"
"79",2019-07-01,"4930",4687,"Hessen"
