"","Date","√éle de France","Centre Val de Loire","Pays de la Loire","Bretagne","Provence Alpes C√ te d Azur","Corse","Bourgogne Franche Comt√ ","Normandie","Hauts de France","Grand Est","Nouvelle Aquitaine","Occitanie","Auvergne Rh√ ne Alpes"
"2","2020-12-01",76161,6386,10846,8125,23786,1340,6662,8298,14891,13516,20672,22563,30368
"3","2020-09-01",67056,6056,8810,7672,22021,1252,6729,7890,14184,13578,18329,21218,27531
"4","2020-06-01",47930,3994,6585,5198,15996,850,4706,5254,9765,8828,12719,14396,19439
"5","2020-03-01",60634,5722,8585,7219,21471,1249,6111,7089,12598,11672,17548,19868,26190
"6","2019-12-01",65575,5417,8625,7182,20955,1271,6015,7054,12973,11706,17184,19358,26791
"7","2019-09-01",53535,5040,7672,6509,18037,1087,5450,6381,11802,10930,16241,17702,23397
"8","2019-06-01",59060,4915,7941,6384,19770,1351,5293,6298,11514,10100,15883,18196,23637
"9","2019-03-01",65977,5479,8820,7292,21896,1327,5799,7010,12504,11344,17847,20309,26451
"10","2018-12-01",58507,4576,6644,5790,17095,1051,4779,5858,10270,9345,14507,15598,21423
"11","2018-09-01",46687,4088,6225,5461,15449,864,4436,5269,8943,8759,13508,14245,19168
"12","2018-06-01",50990,4207,6924,5664,17574,1254,4586,5375,9504,9308,14449,16004,19430
"13","2018-03-01",55865,4588,6938,6088,19210,1218,5051,5831,10861,9897,15579,17131,21794
"14","2017-12-01",51375,3979,5771,4942,15122,1013,4065,4900,9155,8444,12805,14017,18595
"15","2017-09-01",39205,3442,5482,4449,13143,762,3908,4326,7951,7639,11253,12732,16061
"16","2017-06-01",40790,3488,5598,4762,14044,1147,3985,4331,8228,7669,12309,13553,16583
"17","2017-03-01",47130,4004,6247,5360,15845,1048,4298,5230,9280,8700,13419,14695,18921
"18","2016-12-01",42892,3446,5159,4468,12962,868,3640,4380,8083,7128,10924,12079,16026
"19","2016-09-01",36305,3314,4940,4288,12515,729,3647,4203,7312,7527,10426,11741,14720
"20","2016-06-01",41116,3537,5600,4886,14717,1104,4147,4687,8492,7972,12423,13939,16493
"21","2016-03-01",41842,4115,6264,5238,15684,1073,4270,4842,9008,8387,12288,14786,17706
"22","2015-12-01",39573,3599,5344,4606,13074,868,3761,4127,7832,7301,10901,12137,16074
"23","2015-09-01",32685,3501,5077,4321,12430,715,3593,4114,7217,7077,10427,11541,14472
"24","2015-06-01",33864,3510,5338,4593,13879,1076,3767,4268,7911,7257,11312,13120,15036
"25","2015-03-01",37505,3880,5799,5040,15446,941,4199,4792,9237,8120,12329,13999,16991
"26","2014-12-01",38673,3840,5710,4801,13693,872,4187,4773,8380,8485,11199,12800,16785
"27","2014-09-01",31822,3718,5693,4571,12951,793,3976,4609,8059,8043,11195,12317,15470
"28","2014-06-01",33152,3791,5478,4915,14868,1144,4126,4733,8597,8719,12017,13901,16146
"29","2014-03-01",38094,4254,6100,5217,16263,1009,4589,5083,9343,9302,12738,15191,18328
"30","2013-12-01",35233,3836,5536,4494,13997,868,3997,4545,8545,8470,11855,13163,16608
"31","2013-09-01",29672,3510,5067,4304,12986,784,3888,4376,7802,8203,10665,12110,14261
"32","2013-06-01",32084,3645,5417,4758,14739,1052,4350,4630,8443,8446,11972,13666,15942
"33","2013-03-01",36576,4175,6148,5362,16686,1015,4608,4827,9381,9782,12632,14458,17431
"34","2012-12-01",34646,3913,5418,4512,14178,903,4281,4679,8290,7984,10549,13146,16008
"35","2012-09-01",29576,3469,5085,4313,14047,779,3980,4391,8231,8264,10682,12335,14601
"36","2012-06-01",32213,3942,5785,4780,15624,1114,4429,4767,8763,8744,11629,14420,15875
"37","2012-03-01",38395,4508,6557,5642,17685,1083,4788,5353,9809,9799,12976,15721,18500
"38","2011-12-01",34888,4023,5340,4764,14999,886,4237,4809,9256,8389,10971,13256,16359
"39","2011-09-01",29353,3633,5246,4549,13479,821,3982,4441,8088,8498,10251,12420,14433
"40","2011-06-01",32039,4149,5666,4937,15896,1130,4458,4900,8597,8969,12376,14732,15829
"41","2011-03-01",36904,4322,6092,5188,17045,1031,4612,5267,9510,9660,12216,15302,17794
"42","2010-12-01",37729,4268,5929,5055,15943,949,4696,5224,9145,9358,11692,15385,18040
"43","2010-09-01",31765,4085,5625,4832,15091,842,4522,4987,8428,9303,11448,14144,15795
"44","2010-06-01",37588,4466,6286,5597,17889,1136,5037,5473,9586,10008,13290,16610,18068
"45","2010-03-01",43297,5484,7706,6616,21020,1274,6174,6489,11732,11957,14945,19188,20377
"46","2009-12-01",36615,4460,6504,5584,17740,1037,5291,5699,9712,10292,12849,15812,18397
"47","2009-09-01",29244,4261,5687,5052,16050,928,4614,4862,8541,9337,11632,14268,15960
"48","2009-06-01",34284,4560,6416,5981,17739,1234,5301,5630,8586,9953,14332,16974,17668
"49","2009-03-01",30344,4374,6004,5256,16635,1053,4577,5017,8494,8750,12599,14588,15593
"50","2008-12-01",18402,2133,2975,2532,8023,550,2236,2482,4310,4644,5638,7067,8897
"51","2008-09-01",17284,2194,3245,2744,8244,571,2346,2711,4561,5030,6331,7489,8723
"52","2008-06-01",19738,2420,3549,3369,10181,760,2818,2973,4874,5424,7642,9288,10030
"53","2008-03-01",22422,2709,4065,3615,11346,691,3072,3426,5565,5991,8021,9753,11299
"54","2007-12-01",19874,2272,3287,2897,8804,538,2492,2864,4732,5203,6732,7964,9392
