GEO (Labels);2019-Q1;2019-Q2;2019-Q3;2019-Q4;2020-Q1;2020-Q2;2020-Q3
European Union - 27 countries (from 2020);3357124.20;3474485.20;3488337.40;3643940.20;3336573.50;3047286.60;3372525.40
Euro area (EA11-1999. EA12-2001. EA13-2007. EA15-2008. EA16-2009. EA17-2011. EA18-2014. EA19-2015);2891735.40;2971761.10;2978160.80;3093863.40;2859301.70;2589646.70;2874772.10
Euro area - 19 countries  (from 2015);2891735.40;2971761.10;2978160.80;3093863.40;2859301.70;2589646.70;2874772.10
Euro area - 12 countries (2001-2006);2826474.70;2900145.10;2903642.70;3019878.00;2793550.30;2524979.00;2801539.10
Belgium;114209.00;120178.00;115420.00;126397.00;113665.00;103698.00;110937.00
Bulgaria;12847.80;15179.40;16198.30;17014.00;13290.30;14200.90;16195.80
Czechia;51692.80;56106.60;57145.80;59015.40;52795.20;49529.60;54778.70
Denmark;75049.90;78955.90;78005.10;80734.60;76997.00;74284.70;75865.80
Germany;845820.00;846940.00;870150.00;886140.00;851810.00;768770.00;842970.00
Estonia;6510.90;7040.60;7105.10;7455.80;6536.90;6451.60;6966.30
Ireland;84928.90;84930.90;93225.00;92966.40;91882.40;82651.80;99298.30
Greece;41551.40;46069.80;50051.00;45741.20;40555.80;38024.10;44542.50
Spain;298529.00;315695.00;305647.00;324901.00;290523.00;250776.00;280458.00
France;597720.00;606543.00;597695.00;623752.00;579098.00;513877.00;578096.00
Croatia;11926.70;13655.40;15311.80;13349.90;12067.80;11241.70;13470.70
Italy;427845.40;444366.50;443497.60;474037.50;407211.40;370119.40;424154.20
Cyprus;5230.40;5686.40;5768.70;5601.60;5324.20;4856.20;5458.90
Latvia;6735.10;7647.70;8047.20;8033.30;6734.10;6894.30;7801.00
Lithuania;10809.30;12109.20;13060.90;12818.00;11218.30;11572.10;13186.90
Luxembourg;15091.10;15824.40;15628.80;16972.10;15577.00;14926.10;15888.10
Hungary;32611.30;36380.20;37236.80;39705.10;32390.40;30807.00;34435.50
Malta;3134.40;3354.90;3533.90;3439.20;3211.40;2857.50;3221.30
Netherlands;196565.00;206487.00;199281.00;207914.00;200967.00;191318.00;198782.00
Austria;96074.40;98844.80;98974.20;103682.00;93823.80;86150.30;95614.40
Poland;122359.30;129191.20;131570.20;149282.60;128680.30;117302.40;131154.10
Portugal;50896.90;53352.20;54200.80;54851.10;50762.00;46400.80;52065.40
Romania;42848.10;51613.70;61390.00;67419.30;45018.10;46122.30;57616.40
Slovenia;11252.00;12189.90;12488.90;12461.70;11273.90;10901.20;12158.30
Slovakia;21587.90;23587.20;24513.30;24176.80;21451.80;21131.80;24440.10
Finland;57294.00;60896.00;59836.00;62535.00;58132.00;58359.00;58865.00
Sweden;115986.30;121620.50;113315.80;123546.70;116153.20;114166.90;114479.90
United Kingdom;631105.70;623637.10;612678.30;660925.00;643452.60;530595.80;580977.60
Iceland;4989.20;5484.20;5723.70;5793.50;4823.80;4469.60;4536.70
Norway;93168.60;89911.50;86643.60;92542.60;85980.10;71736.20;76602.90
Switzerland;156980.90;161427.60;165616.90;169486.80;164806.10;157054.80;165096.90
Montenegro;890.70;1160.60;1646.50;1252.90;917.40;902.40;1213.40
North Macedonia;2538.30;2779.70;2875.00;3016.10;2607.70;2332.80;2781.40
Albania;3086.50;3626.90;3507.30;3435.60;3035.50;3098.30;3309.20
Serbia;10215.30;11329.80;11910.50;12518.60;11079.00;10774.70;11895.90
Turkey;151445.20;155684.90;183629.70;188393.70;159253.80;137583.20;167827.20
Bosnia and Herzegovina;4101.00;4469.60;4819.80;4621.90;4257.60;4062.70;
Kosovo (under United Nations Security Council Resolution 1244/99);1421.30;1824.00;1967.40;1867.00;1437.70;1635.70;1828.50
