"","Date","TotalConsumption"
"466",2018-10-01,202.144
"467",2018-11-01,200.807
"468",2018-12-01,197.849
"469",2019-01-01,201.695
"470",2019-02-01,201.349
"471",2019-03-01,200.061
"472",2019-04-01,201.31
"473",2019-05-01,201.264
"474",2019-06-01,201.074
"475",2019-07-01,202.224
"476",2019-08-01,202.693
"477",2019-09-01,201.791
"478",2019-10-01,202.155
"479",2019-11-01,203.66
"480",2019-12-01,203.379
"481",2020-01-01,200.743
"482",2020-02-01,200.29
"483",2020-03-01,161.134
"484",2020-04-01,127.398
"485",2020-05-01,183.33
"486",2020-06-01,207.187
"487",2020-07-01,205.956
"488",2020-08-01,210.054
"489",2020-09-01,200.95
"490",2020-10-01,207.545
