Date;Close;Index
2020-03-02;11857870117;DAX
2020-03-03;11985389648;DAX
2020-03-04;12127690430;DAX
2020-03-05;11944719727;DAX
2020-03-06;11541870117;DAX
2020-03-09;10625019531;DAX
2020-03-10;10475490234;DAX
2020-03-11;10438679688;DAX
2020-03-12;9161129883;DAX
2020-03-13;9232080078;DAX
2020-03-16;8742250000;DAX
2020-03-17;8939099609;DAX
2020-03-18;8441709961;DAX
2020-03-19;8610429688;DAX
2020-03-20;8928950195;DAX
2020-03-23;8741150391;DAX
2020-03-24;9700570313;DAX
2020-03-25;9874259766;DAX
2020-03-26;10000959961;DAX
2020-03-27;9632519531;DAX
2020-03-30;9815969727;DAX
2020-03-31;9935839844;DAX
2020-04-01;9544750000;DAX
2020-04-02;9570820313;DAX
2020-04-03;9525769531;DAX
2020-04-06;10075169922;DAX
2020-04-07;10356700195;DAX
2020-04-08;10332889648;DAX
2020-04-09;10564740234;DAX
2020-04-14;10696559570;DAX
2020-04-15;10279759766;DAX
2020-04-16;10301540039;DAX
2020-04-17;10625780273;DAX
2020-04-20;10675900391;DAX
2020-04-21;10249849609;DAX
2020-04-22;10415030273;DAX
2020-04-23;10513790039;DAX
2020-04-24;10336089844;DAX
2020-04-27;10659990234;DAX
2020-04-28;10795629883;DAX
2020-04-29;11107740234;DAX
2020-04-30;10861639648;DAX
2020-05-04;10466799805;DAX
2020-05-05;10729459961;DAX
2020-05-06;10606200195;DAX
2020-05-07;10759269531;DAX
2020-05-08;10904480469;DAX
2020-05-11;10824990234;DAX
2020-05-12;10819500000;DAX
2020-05-13;10542660156;DAX
2020-05-14;10337019531;DAX
2020-05-15;10465169922;DAX
2020-05-18;11058870117;DAX
2020-05-19;11075290039;DAX
2020-05-20;11223709961;DAX
2020-05-21;11065929688;DAX
2020-05-22;11073870117;DAX
2020-05-25;11391280273;DAX
2020-05-26;11504650391;DAX
2020-05-27;11657690430;DAX
2020-05-28;11781129883;DAX
2020-05-29;11586849609;DAX
2020-06-02;12021280273;DAX
2020-06-03;12487360352;DAX
2020-06-04;12430559570;DAX
2020-06-05;12847679688;DAX
2020-06-08;12819589844;DAX
2020-06-09;12617990234;DAX
2020-06-10;12530160156;DAX
2020-06-11;11970290039;DAX
2020-06-12;11949280273;DAX
2020-06-15;11911349609;DAX
2020-06-16;12315660156;DAX
2020-06-17;12382139648;DAX
2020-06-18;12281530273;DAX
2020-06-19;12330759766;DAX
