"","Date","NumberofCompanyBirths","Bundesland"
"1",2019-01-01,9362,"Baden-Württemberg"
"2",2019-02-01,7847,"Baden-Württemberg"
"3",2019-03-01,7679,"Baden-Württemberg"
"4",2019-04-01,6976,"Baden-Württemberg"
"5",2019-05-01,7056,"Baden-Württemberg"
"6",2019-06-01,6012,"Baden-Württemberg"
"7",2019-07-01,6837,"Baden-Württemberg"
"8",2019-08-01,6964,"Baden-Württemberg"
"9",2019-09-01,7075,"Baden-Württemberg"
"10",2019-10-01,7759,"Baden-Württemberg"
"11",2019-11-01,6639,"Baden-Württemberg"
"12",2019-12-01,6579,"Baden-Württemberg"
"13",2019-01-01,12160,"Bayern"
"14",2019-02-01,10542,"Bayern"
"15",2019-03-01,10267,"Bayern"
"16",2019-04-01,9581,"Bayern"
"17",2019-05-01,9792,"Bayern"
"18",2019-06-01,7757,"Bayern"
"19",2019-07-01,10006,"Bayern"
"20",2019-08-01,8921,"Bayern"
"21",2019-09-01,9355,"Bayern"
"22",2019-10-01,9602,"Bayern"
"23",2019-11-01,7739,"Bayern"
"24",2019-12-01,7884,"Bayern"
"25",2019-01-01,4445,"Berlin"
"26",2019-02-01,3629,"Berlin"
"27",2019-03-01,3612,"Berlin"
"28",2019-04-01,3386,"Berlin"
"29",2019-05-01,3364,"Berlin"
"30",2019-06-01,3212,"Berlin"
"31",2019-07-01,3696,"Berlin"
"32",2019-08-01,3479,"Berlin"
"33",2019-09-01,3863,"Berlin"
"34",2019-10-01,3275,"Berlin"
"35",2019-11-01,2996,"Berlin"
"36",2019-12-01,2799,"Berlin"
"37",2019-01-01,1859,"Brandenburg"
"38",2019-02-01,1575,"Brandenburg"
"39",2019-03-01,1568,"Brandenburg"
"40",2019-04-01,1549,"Brandenburg"
"41",2019-05-01,1403,"Brandenburg"
"42",2019-06-01,1310,"Brandenburg"
"43",2019-07-01,1391,"Brandenburg"
"44",2019-08-01,1394,"Brandenburg"
"45",2019-09-01,1397,"Brandenburg"
"46",2019-10-01,1223,"Brandenburg"
"47",2019-11-01,1431,"Brandenburg"
"48",2019-12-01,1346,"Brandenburg"
"49",2019-01-01,367,"Bremen"
"50",2019-02-01,606,"Bremen"
"51",2019-03-01,479,"Bremen"
"52",2019-04-01,507,"Bremen"
"53",2019-05-01,531,"Bremen"
"54",2019-06-01,437,"Bremen"
"55",2019-07-01,467,"Bremen"
"56",2019-08-01,425,"Bremen"
"57",2019-09-01,421,"Bremen"
"58",2019-10-01,407,"Bremen"
"59",2019-11-01,684,"Bremen"
"60",2019-12-01,409,"Bremen"
"61",2019-01-01,1958,"Hamburg"
"62",2019-02-01,1724,"Hamburg"
"63",2019-03-01,1775,"Hamburg"
"64",2019-04-01,1760,"Hamburg"
