date;Sachsen-Anhalt;Thüringen;Brandenburg;Berlin;Rheinland-Pfalz;Bayern;Nordrhein-Westfalen;Niedersachsen;Hessen;Bremen;Mecklenburg-Vorpommern;Hamburg;Schleswig-Holstein;Sachsen;Baden-Württemberg;Saarland
2019-11-01;6.6;4.9;5.4;7.6;4.2;2.7;6.4;4.8;4.2;9.8;6.7;6;4.9;5;3.1;6
2019-12-01;6.9;5.1;5.5;7.7;4.3;2.8;6.4;4.9;4.3;9.8;7.1;6;5;5.2;3.2;6.2
2020-01-01;7.6;5.7;6;8.2;4.7;3.3;6.8;5.3;4.7;10.3;7.7;6.4;5.4;5.7;3.5;6.6
2020-02-01;7.4;5.6;5.9;8;4.7;3.2;6.7;5.3;4.6;10.2;7.6;6.4;5.4;5.6;3.5;6.5
2020-03-01;7.1;5.4;5.7;7.9;4.6;3.1;6.7;5.1;4.5;10;7.3;6.3;5.2;5.5;3.4;6.4
2020-04-01;7.8;6;6.2;9.3;5.2;3.6;7.4;5.7;5.2;11;7.9;7.3;5.8;6.1;4;7.1
2020-05-01;8.2;6.3;6.5;10;5.5;3.8;7.7;6;5.6;11.4;8.2;7.9;6.2;6.4;4.3;7.5
2020-06-01;8.1;6.3;6.5;10.5;5.6;3.9;7.9;6;5.7;11.6;8;8.2;6.1;6.3;4.4;7.6
2020-07-01;8;6.3;6.5;10.8;5.7;3.9;8.1;6.2;5.9;11.8;8;8.5;6.3;6.3;4.4;7.8
2020-08-01;8.1;6.4;6.4;10.7;5.7;4.1;8.2;6.3;6;12;7.9;8.4;6.2;6.5;4.6;7.8
2020-09-01;7.7;6.1;6.2;10.5;5.4;3.9;7.9;6;5.8;11.8;7.6;8;6;6.3;4.6;7.5
2020-10-01;7.5;5.9;6.1;10.2;5.2;3.7;7.7;5.8;5.6;11.6;7.5;7.9;5.8;6.1;4.3;7.2
2020-11-01;7.3;5.8;6;10.1;5.1;3.6;7.6;5.7;5.5;11.3;7.5;7.7;5.8;6;4.2;7.1
